TypeBasedGenerator	LDGenerator	LDEqMightGenerator	LDEqVarGenerator	LDEqWellGenerator	LDStructureMightGenerator	LDStructureVarGenerator	LDStructureWellGenerator
0.174535	0.915179				8.368947		
0.21781799999999998	1.462839				16.38605		
0.32792000000000004	1.703011				16.731265		
0.39264800000000005	2.03986				16.887094		
0.40406200000000003	2.163053				18.175385		
0.44145199999999996	2.228297				18.927132		
0.47019700000000003	2.358198				20.869107		
0.507776	2.4511789999999998				24.309365000000003		
0.524063	2.466856				27.097322000000002		
0.7593500000000001	2.568956				36.479217		
0.8058409999999999	4.060813						
0.9756180000000001	6.014179						
1.00442	11.613906000000002						
1.859623	13.559439000000001						
2.472792	16.669476						
2.655650999999999	25.790318						
35.654523999999995							
59.116717							
