TypeBasedGenerator	LEqGenerator	LExceptGenerator	LGenerator
0.000277	0.00013800000000000002	0.00011300000000000001	0.00036899999999999997
0.000348999999999	0.000144	0.000149	0.00046
0.000348999999999	0.000149	0.000164	0.000499
0.000354	0.00015000000000000001	0.000183	0.000571
0.00038	0.000153	0.00019500000000000002	0.0006789999999999999
0.000416	0.000154	0.000204	0.000735
0.000417	0.000212	0.000236	0.0007700000000000001
0.000439	0.00023	0.00023799999999900002	0.0008219999999990001
0.00046	0.00023200000000000003	0.00024599999999999996	0.00088
0.00046199999999999995	0.00023300000000000003	0.000266	0.00099
0.0005200000000000001	0.000237	0.00035000000000000005	0.0021290000000000002
0.0006100000000000001	0.00023799999999900002	0.000432	0.002768
0.00064	0.00024000000000000003	0.0005239999999999999	0.002918
0.000643	0.00024099999999999998	0.0007239999999999999	0.003391
0.0006600000000000001	0.000244	0.0007819999999999999	0.003581
0.0006600000000000001	0.00025800000000000004	0.00088	0.005527000000000001
0.00067	0.00026199999999999997	0.00092	0.007755
0.00071	0.000266	0.0013830000000000001	0.008243
0.00076	0.00026700000000000004	0.0017419999999999998	0.008335
0.00079	0.000339	0.002454	0.008362999999999001
0.0008	0.000589	0.002678	0.01089
0.0008049999999999999	0.0008179999999990001	0.002876	0.011276999999999001
0.0008259999999999999	0.001044	0.003379	0.011283
0.0010969999999999999	0.001264999999999	0.0035039999999999997	0.012308999999999001
0.0011149999999999999	0.001307	0.003767	0.012733000000000001
0.001183	0.001371	0.003895	0.014214000000000001
0.0012330000000000002	0.001405	0.004279	0.014232
0.001506	0.0016489999999999999	0.004456000000000001	0.01844
0.001812	0.001952	0.005084	0.019145
0.0018720000000000002	0.002169	0.0052629999999999994	0.021670000000000002
0.002101	0.0024029999999999998	0.005605000000000001	0.021913000000000002
0.002594	0.002444	0.0058590000000000005	0.022438
0.0034709999999999997	0.0027770000000000004	0.0058969999999999995	0.023398
0.003521	0.0033940000000000003	0.0062369999999999995	0.024437
0.003796	0.003642	0.0067139999999999995	0.025842999999999998
0.004011	0.004057000000000001	0.008480999999999999	0.034787
0.004171	0.004136	0.008699	0.040969000000000005
0.004406	0.004285000000000001	0.010726999999999999	0.041382999999999996
0.009033	0.005078	0.012303000000000001	0.051537
0.010771000000000001	0.005699	0.012568	0.058052
0.0108	0.006803	0.013406000000000001	0.09263500000000001
0.0119	0.011068999999999999	0.023018999999999002	0.12718200000000002
0.026718000000000002	0.011661999999999999	0.026740000000000003	0.211897
0.03263	0.026383999999999998	0.030409	0.320865
0.034183	0.042435	0.035063000000000004	0.445883
0.050844999999999994	0.08473699999999901	0.14957299999999998	0.617371
0.158213	0.088298	0.331256	1.997229
0.17397200000000002	0.17300700000000002	1.329791	4.476558
0.537049	0.41670599999999997	7.601227	
