TypeBasedGenerator	LDThinInitGenerator	LSDThinGenerator	LSDMayEqBound10Generator
0.054249000000000006	0.06360099999999999	0.017890000000000003	0.040569
0.080354	0.09357000000000001	0.042371000000000006	0.06217
0.15218600000000002	0.100287	0.045020000000000004	0.065478
0.173289	0.113276	0.046	0.07054200000000001
0.252911	0.43875400000000003	0.046280999999999996	0.091296
0.46126100000000003	0.46893	0.04952	0.114721999999999
0.510432	0.7439169999999999	0.060614999999999995	0.12967299999999998
0.597148	0.747054	0.061117	0.19242399999999998
10.717074	1.4363350000000001	0.068997	0.401638
30.965859000000002	2.934199999999999	0.081383	0.478919
		0.08414	
		0.112452	
		0.12607000000000002	
		0.130018	
		0.350906999999999	
		0.531667	
		3.095999	
		3.387145	
		3.604599	
		3.748646	
