TypeBasedGeneratorx	TypeBasedGeneratory	LSDInitGeneratorx	LSDInitGeneratory	R_LSDEqBound10Generatorx	R_LSDEqBound10Generatory
0	0	0	0	0	0
0.000111	1	0.00046	1	0.000154	1
0.000179	2	0.00046300000000000003	2	0.00016099999999999998	2
0.000222	3	0.000505	3	0.00016099999999999998	3
0.00027800000000000004	4	0.000776	4	0.000208	4
0.0005200000000000001	5	0.0009100000000000001	5	0.00029	5
0.0006839999999999999	6	0.001111	6	0.000526	6
0.0007859999999999999	7	0.0033420000000000004	7	0.000526	7
0.0008709999999999999	8	0.004472999999999	8	0.000647	8
0.0008810000000000001	9	0.006228	9	0.0006839999999999999	9
0.000883	10	0.0071920000000000005	10	0.0007610000000000001	10
0.0009600000000000001	11	0.007755	11	0.0011890000000000002	11
0.001037	12	0.014693	12	0.003316	12
0.001139	13	0.017789000000000003	13	0.0033529999999999996	13
0.0031320000000000002	14	0.024097	14	0.0036479999999999998	14
0.008851000000000001	15	0.037168	15	0.0044080000000000005	15
0.013817999999999999	16	0.047969000000000005	16	0.0047220000000000005	16
0.019586	17	0.050137999999999995	17	0.007961000000000001	17
0.020720000000000002	18	0.078582	18	0.008846999999999001	18
0.025124999999999998	19	0.130268	19	0.01085	19
0.028124999999999997	20	0.135594	20	0.012076	20
0.047819	21	0.145097	21	0.012666	21
0.339623	22	0.314234	22	0.017082	22
0.536026	23	0.36281599999999903	23	0.020842	23
0.749625	24	1.648715999999999	24	0.044878	24
0.9174329999999999	25	1.904869999999999	25	0.052523999999999994	25
1.523445999999999	26	3.290357	26	0.13176000000000002	26
2.867437	27	5.083769	27	0.43873	27
3.922897	28	60	27	60	27
60	28				
