LSDMayEqBound10Generator	LSDThinGenerator	TypeBasedGenerator
0.026498999999999003	0.032036999999999996	0.039827
0.031324000000000005	0.042005999999999995	0.051580999999999995
0.031913000000000004	0.05134300000000001	0.066733
0.037599	0.052542000000000005	0.077553
0.051265000000000005	0.061780999999999996	0.103338
0.056558000000000004	0.07112	0.11677499999999999
0.061686	0.074632999999999	0.12113199999999999
0.065743	0.080371	0.13656100000000002
0.070452	0.09842000000000001	0.141854999999999
0.08252200000000001	0.098622	0.146113
0.093641	0.106068	0.14907700000000002
0.098675	0.10688	0.183809
0.101983999999999	0.147702	0.289613
0.10342499999999999	0.19883299999999998	0.6058600000000001
0.106724	0.247879	0.9222889999999999
0.13208599999999998	0.31310699999999997	1.131267
0.140429	5.7750720000000015	10.902185
0.465541	8.249844999999999	14.322501
0.558068	9.990206	15.146048
0.960866	11.085762	21.872661
