TypeBasedGeneratorx	TypeBasedGeneratory	B_LDEqLR30Bound10Generatorx	B_LDEqLR30Bound10Generatory	B_LDGeneratorx	B_LDGeneratory
0	0	0	0	0	0
0.00021799999999999999	1	0.000128	1	0.00035000000000000005	1
0.000377	2	0.000133	2	0.000357	2
0.000406999999999	3	0.00015900000000000002	3	0.00039000000000000005	3
0.000417	4	0.00019600000000000002	4	0.00040199999999999996	4
0.00045000000000000004	5	0.00028000000000000003	5	0.000437	5
0.00045000000000000004	6	0.00031	6	0.000597	6
0.0005300000000000001	7	0.000316	7	0.0006900000000000001	7
0.0005600000000000001	8	0.000337	8	0.0007199999999990001	8
0.00058	9	0.000347	9	0.000726	9
0.0006039999999999999	10	0.00035000000000000005	10	0.001142	10
0.00062	11	0.00037600000000000003	11	0.0011589999999999999	11
0.00063	12	0.000421	12	0.0011610000000000001	12
0.00063	13	0.00042699999999999997	13	0.0022210000000000003	13
0.0006410000000000001	14	0.00046800000000000005	14	0.002476	14
0.0007700000000000001	15	0.0004900000000000001	15	0.0050089999999999996	15
0.0007800000000000001	16	0.0005560000000000001	16	0.006953000000000001	16
0.0008010000000000001	17	0.00058	17	0.00808	17
0.0008449999999990001	18	0.0005909999999990001	18	0.008177	18
0.00092	19	0.000602	19	0.009424	19
0.0009800000000000002	20	0.0006670000000000001	20	0.011028999999999999	20
0.001039	21	0.0007549999999999999	21	0.012362999999999002	21
0.00108	22	0.001017	22	0.012478	22
0.0010819999999999998	23	0.001036	23	0.014770000000000002	23
0.0012100000000000001	24	0.0010739999999999999	24	0.015567000000000001	24
0.0013449999999999998	25	0.001276	25	0.016314000000000002	25
0.0015	26	0.0013679999999999999	26	0.016631	26
0.0015960000000000002	27	0.001415	27	0.017318	27
0.001727	28	0.0019649999999999997	28	0.020176	28
0.0019549999999999997	29	0.0028009999999999997	29	0.022468000000000002	29
0.00204	30	0.002897	30	0.024950000000000003	30
0.002111	31	0.003578	31	0.025519	31
0.002666999999999	32	0.0035870000000000003	32	0.028384	32
0.002902	33	0.00369	33	0.031997	33
0.003707	34	0.003885	34	0.034714999999999996	34
0.003823	35	0.004369	35	0.035708	35
0.007287	36	0.0049900000000000005	36	0.036080999999999995	36
0.0074529999999999996	37	0.005788000000000001	37	0.039073000000000004	37
0.010723000000000002	38	0.0060160000000000005	38	0.069559	38
0.014717000000000001	39	0.006242999999999999	39	0.073864	39
0.016419	40	0.0062580000000000005	40	0.074479	40
0.018376	41	0.006396	41	0.09699500000000001	41
0.020264	42	0.006972000000000001	42	0.12634299999999998	42
0.021138999999999002	43	0.008595	43	0.18122100000000002	43
0.040498	44	0.008766999999999999	44	0.20143000000000003	44
0.058186999999999	45	0.021568	45	0.30050499999999997	45
0.062016999999999996	46	0.035598	46	0.401371	46
0.07491500000000001	47	0.050272	47	0.888396	47
0.077872	48	0.065773	48	18.508935	48
0.296448	49	0.14494900000000002	49	60	48
60	49	60	49		
