BespokeGenerator	LBespokeGenerator	S_BespokeACELR03Bound10Generator
0.00642	0.0032419999999999997	0.0019100000000000002
0.0067469999999999995	0.003601999999999	0.002539
0.006876999999999999	0.004370000000000001	0.002712
0.008128	0.005485999999999	0.0028629999999999997
0.008442	0.006031	0.0029230000000000003
0.011887	0.006149	0.0030870000000000003
0.012438999999999999	0.006456000000000001	0.003565999999999
0.012929000000000001	0.007692	0.004683
0.013540000000000002	0.009099000000000001	0.004704
0.016114999999999	0.012862	0.004934999999999
0.019386	0.014610000000000001	0.005305
0.025595	0.015181	0.01084
0.031186000000000002	0.035962999999999995	0.020100000000000003
0.05946200000000001	0.042756999999999004	0.026628000000000002
0.07396799999999999	0.054154999999999995	0.028742999999999002
0.08574699999999999	0.054785	0.046578
0.117733999999999	0.11716000000000001	0.046994
0.32565000000000005	0.11887500000000001	0.047825000000000006
0.37114199999999997	0.169483	0.053714
0.382776	0.34709399999999996	0.053878999999999004
