BespokeGeneratorx	BespokeGeneratory	LBespokeGeneratorx	LBespokeGeneratory	SBespokeACELR03Bound10Generatorx	SBespokeACELR03Bound10Generatory
0	0	0	0	0	0
0.0033959999999999997	1	0.003	1	0.001212	1
0.0062759999999999995	2	0.0032660000000000002	2	0.0021300000000000004	2
0.006980999999999999	3	0.004307	3	0.002888	3
0.008671	4	0.005168	4	0.002976	4
0.008871	5	0.005320999999999999	5	0.003316	5
0.009260000000000001	6	0.006385	6	0.0034479999999999997	6
0.010824	7	0.008218	7	0.0037619999999999997	7
0.011826000000000001	8	0.008359	8	0.005167	8
0.012645	9	0.008811	9	0.00521	9
0.013153999999999999	10	0.009682999999999999	10	0.005286	10
0.014482	11	0.012046	11	0.005333	11
0.015068	12	0.013124	12	0.007764999999999999	12
0.061315999999999996	13	0.026397	13	0.030025	13
0.062130000000000005	14	0.037024	14	0.033261000000000006	14
0.07427099999999999	15	0.061223	15	0.033658	15
0.08255000000000001	16	0.07718699999999999	16	0.036011	16
0.22028999999999901	17	0.09114900000000001	17	0.073862	17
0.264893	18	0.136352	18	0.09174500000000001	18
0.2863	19	0.29534099999999996	19	0.09704800000000001	19
0.33152600000000004	20	0.36250400000000005	20	0.14053800000000002	20
60	20	60	20	60	20
