TypeBasedGeneratorx	TypeBasedGeneratory	R_LSDEqLR30Sz6Bound10Generatorx	R_LSDEqLR30Sz6Bound10Generatory	R_LSDEqLR30Sz8Bound10Generatorx	R_LSDEqLR30Sz8Bound10Generatory	RLSD6Generatorx	RLSD6Generatory	RLSD8Generatorx	RLSD8Generatory
0	0	0	0	0	0	0	0	0	0
0.000124	1	0.000176	1	0.0002	1	0.00029	1	0.000206	1
0.000224	2	0.000177	2	0.00026199999999999997	2	0.0006670000000000001	2	0.000754	2
0.00046800000000000005	3	0.000178	3	0.00026900000000000003	3	0.0006820000000000001	3	0.0009739999999999999	3
0.000623	4	0.00017999999999900002	4	0.00031299999999999996	4	0.0008	4	0.001006999999999	4
0.0006600000000000001	5	0.000242	5	0.00034100000000000005	5	0.001088	5	0.0013629999999999998	5
0.000725	6	0.000288	6	0.0005009999999999999	6	0.0020829999999999998	6	0.001918	6
0.0008529999999999999	7	0.00045400000000000003	7	0.0005239999999999999	7	0.003085	7	0.005489	7
0.00092	8	0.0005149999999999999	8	0.0005629999999990001	8	0.0076749999999999995	8	0.007169	8
0.001248	9	0.000982	9	0.000569	9	0.009483	9	0.013878999999999999	9
0.0014709999999999999	10	0.0017900000000000001	10	0.0015040000000000001	10	0.011954000000000001	10	0.021338000000000003	10
0.001545	11	0.002549	11	0.0034600000000000004	11	0.012084	11	0.026754999999999998	11
0.0017350000000000002	12	0.0029500000000000004	12	0.005044	12	0.016839	12	0.027943000000000003	12
0.005527000000000001	13	0.003294	13	0.007142000000000001	13	0.020508	13	0.034976	13
0.006555999999999999	14	0.004163	14	0.007369	14	0.036454	14	0.035116999999999	14
0.007507	15	0.0045639999999999995	15	0.008733000000000001	15	0.050559	15	0.035669	15
0.008603	16	0.005182	16	0.008836	16	0.062573	16	0.087324	16
0.008819	17	0.005186	17	0.015524	17	0.06676900000000001	17	0.10996199999999999	17
0.010601000000000001	18	0.007180000000000001	18	0.017277	18	0.10176199999999999	18	0.12670499999999998	18
0.024295999999999002	19	0.011321999999999001	19	0.018157	19	0.13343000000000002	19	0.195647	19
0.027745000000000002	20	0.013666999999999999	20	0.020501000000000002	20	0.14329	20	0.224496	20
0.053311000000000004	21	0.019301	21	0.020586	21	0.20956899999999998	21	0.263832	21
0.24441200000000002	22	0.019721	22	0.028922999999999	22	0.32814099999999996	22	0.40249700000000005	22
0.35759599999999997	23	0.020347	23	0.035325999999999996	23	0.6017290000000001	23	0.591746	23
0.41374400000000006	24	0.020998000000000003	24	0.065678	24	0.958093	24	1.26083	24
0.9105059999999999	25	0.028952000000000002	25	0.074772999999999	25	4.440595	25	4.934311	25
1.127959	26	0.06743299999999999	26	0.094981	26	5.023074999999999	26	13.489123	26
1.422596	27	0.18792799999999998	27	1.712352	27	23.763111000000002	27	15.669781	27
1.67454	28	60	27	60	27	60	27	60	27
25.475271000000003	29								
60	29								
