TypeBasedGenerator	LSDInitGenerator	R_LSDEqBound05Generator
0.000111	0.00046	0.00019500000000000002
0.000179	0.00046300000000000003	0.000215
0.000222	0.000505	0.000216
0.00027800000000000004	0.000776	0.000314
0.0005200000000000001	0.0009100000000000001	0.0004
0.0006839999999999999	0.001111	0.000483
0.0007859999999999999	0.0033420000000000004	0.000683
0.0008709999999999999	0.004472999999999	0.000808
0.0008810000000000001	0.006228	0.0008200000000000001
0.000883	0.0071920000000000005	0.0009939999999999999
0.0009600000000000001	0.007755	0.001276
0.001037	0.014693	0.0013319999999999999
0.001139	0.017789000000000003	0.001343
0.0031320000000000002	0.024097	0.002068
0.008851000000000001	0.037168	0.002074
0.013817999999999999	0.047969000000000005	0.002264
0.019586	0.050137999999999995	0.002787
0.020720000000000002	0.078582	0.0034790000000000003
0.025124999999999998	0.130268	0.0036090000000000002
0.028124999999999997	0.135594	0.0036230000000000004
0.047819	0.145097	0.005314999999999999
0.339623	0.314234	0.005339
0.536026	0.36281599999999903	0.005614
0.749625	1.648715999999999	0.007877
0.9174329999999999	1.904869999999999	0.011424
1.523445999999999	3.290357	0.014759000000000001
2.867437	5.083769	0.066193
3.922897		
